col1,col2,col3,col4,col5,col6
1,Counter-Strike: Global Offensive,Free To Play,0 572,,
2,Remnant II,$49.99,▲ 9 3,,
3,Baldur's Gate 3,$59.99,▲ 1 32,,
4,Steam Deck,$399.00,▼ 2 74,,
5,BattleBit Remastered,$14.99,▼ 2 6,,
6,Apex Legends™,Free To Play,▲ 3 142,,
7,Call of Duty®: Modern Warfare® II,-45%,$69.99,$38.49,0 53
8,Destiny 2,Free To Play,▲ 5 211,,
9,Team Fortress 2,Free To Play,▼ 4 34,,
10,The Sims™ 4,Free To Play,▲ 20 162,,
11,Tom Clancy's Rainbow Six® Siege,-60%,$19.99,$7.99,▲ 6 401
12,War Thunder,Free To Play,▲ 6 317,,
13,Red Dead Redemption 2,-67%,$59.99,$19.79,▲ 10 190
14,Grand Theft Auto V,-63%,$39.98,$14.99,▲ 1 445
15,Black Desert,$9.99,▲ 1 126,,
16,Rust,$39.99,▼ 2 422,,
17,Lost Ark,Free To Play,▼ 9 81,,
18,The Elder Scrolls® Online,$19.99,▲ 3 444,,
19,Street Fighter™ 6,$59.99,▲ 7 14,,
20,FINAL FANTASY XIV Online,$19.99,▲ 5 347,,
21,STARFIELD,Prepurchase,$69.99,▲ 8 7,
22,DAVE THE DIVER,$19.99,▼ 16 4,,
23,The Sims™ 4 Horse Ranch Expansion Pack,$39.99,NEW 1,,
24,Valve Index® Headset,$499.00,0 164,,
25,Dead by Daylight,-60%,$19.99,$7.99,▼ 13 324
26,Xenonauts 2,-25%,$39.99,$29.99,NEW 1
27,Viewfinder,$24.99,NEW 1,,
28,Ready or Not,$39.99,▲ 15 84,,
29,Techtonica,$29.99,NEW 1,,
30,My Friendly Neighborhood,$29.99,NEW 1,,
31,NARAKA: BLADEPOINT,Free To Play,▲ 1 2,,
32,Exoprimal,$59.99,▼ 22 2,,
33,MapleStory,Free To Play,RETURNING 1,,
34,Warframe,Free To Play,▲ 2 539,,
35,Tiny Tina's Wonderlands,-67%,$59.99,$19.79,▲ 39 4
36,Fallout 76,$39.99,▲ 2 172,,
37,Sea of Thieves 2023 Edition,$39.99,0 164,,
38,Ember Knights,$19.99,RETURNING 1,,
39,Borderlands 3,-85%,$59.99,$8.99,▲ 57 3
40,ELDEN RING,$59.99,▼ 21 86,,
41,Sons Of The Forest,$29.99,▼ 14 22,,
42,Call of Duty®: Black Ops III,-67%,$59.99,$19.79,▼ 8 31
43,F1® 23,-40%,$89.99,$53.99,RETURNING 1
44,SCP: 5K,$19.99,▼ 16 3,,
45,Six Days in Fallujah,$39.99,0 5,,
46,World of Warships,Free To Play,RETURNING 1,,
47,Project Zomboid,$19.99,▼ 7 39,,
48,Yu-Gi-Oh! Master Duel,Free To Play,▼ 15 2,,
49,Phasmophobia,$13.99,0 149,,
50,Halo Infinite,Free To Play,RETURNING 1,,
