Rank,Game Name,Free to Play,Current Players,Peek Today,Collection Date
1,Counter-Strike: Global Offensive,1,807015,1361281,2023-09-24
2,Baldur's Gate 3,0,284177,389771,2023-09-24
3,Dota 2,1,265018,739724,2023-09-24
4,Starfield,0,129299,187483,2023-09-24
5,Apex Legends,1,119257,433064,2023-09-24
6,Cyberpunk 2077,0,104076,169711,2023-09-24
7,PUBG: BATTLEGROUNDS,1,94034,402587,2023-09-24
8,Team Fortress 2,1,72918,86441,2023-09-24
9,Tom Clancy's Rainbow Six Siege,0,67899,90422,2023-09-24
10,Call of Duty,0,54618,79346,2023-09-24
11,Grand Theft Auto V,0,53869,151015,2023-09-24
12,Unturned,1,52919,63176,2023-09-24
13,Rust,0,50665,102058,2023-09-24
14,Wallpaper Engine,0,49646,116153,2023-09-24
15,War Thunder,1,41431,101213,2023-09-24
16,NARAKA: BLADEPOINT,1,36117,223960,2023-09-24
17,Lost Ark,1,36005,51844,2023-09-24
18,Warframe,1,33067,59674,2023-09-24
19,Sid Meier’s Civilization VI,0,32454,62870,2023-09-24
20,Path of Exile,1,32286,59247,2023-09-24
21,Destiny 2,1,30685,65069,2023-09-24
22,Stardew Valley,0,29324,43026,2023-09-24
23,ARK: Survival Evolved,0,28457,60740,2023-09-24
24,Left 4 Dead 2,0,28352,47679,2023-09-24
25,MIR4,1,28025,29822,2023-09-24
26,Terraria,0,27794,60786,2023-09-24
27,The First Descendant Crossplay Beta,0,26919,44081,2023-09-24
28,VRChat,1,26503,37382,2023-09-24
29,Phasmophobia,0,26422,37769,2023-09-24
30,Dead by Daylight,0,25856,42334,2023-09-24
31,Rocket League,0,25390,39066,2023-09-24
32,Project Zomboid,0,24588,36064,2023-09-24
33,The Sims 4,1,24164,38242,2023-09-24
34,Party Animals,0,23825,56445,2023-09-24
35,FINAL FANTASY XIV Online,0,23775,28620,2023-09-24
36,Football Manager 2023,0,23767,65738,2023-09-24
37,DayZ,0,23504,54497,2023-09-24
38,Red Dead Redemption 2,0,23111,57100,2023-09-24
39,7 Days to Die,0,22856,42077,2023-09-24
40,tModLoader,0,21735,40711,2023-09-24
41,Mortal Kombat 1,0,21482,24413,2023-09-24
42,VPet-Simulator,1,20102,45994,2023-09-24
43,Resident Evil 4,0,19823,40590,2023-09-24
44,The Elder Scrolls V: Skyrim Special Edition,0,18757,27568,2023-09-24
45,Hearts of Iron IV,0,18593,51398,2023-09-24
46,ELDEN RING,0,18536,33765,2023-09-24
47,Valheim,0,18400,33774,2023-09-24
48,PAYDAY 3,0,18171,66286,2023-09-24
49,Black Desert,0,17664,24214,2023-09-24
50,PAYDAY 2,0,16484,45833,2023-09-24
51,Geometry Dash,0,16394,29800,2023-09-24
52,Overwatch 2,1,15901,31932,2023-09-24
53,RimWorld,0,15507,23589,2023-09-24
54,Yu-Gi-Oh! Master Duel,1,15454,27350,2023-09-24
55,New World,0,15418,25912,2023-09-24
56,Garry's Mod,0,15346,32901,2023-09-24
57,Deep Rock Galactic,0,15212,25779,2023-09-24
58,Cities: Skylines,0,14341,32628,2023-09-24
59,SMITE,1,14276,15357,2023-09-24
60,EA SPORTS FIFA 23,0,14172,34920,2023-09-24
61,Brawlhalla,1,14055,22101,2023-09-24
62,Farlight 84,1,14032,28173,2023-09-24
63,Age of Empires II: Definitive Edition,0,13915,22786,2023-09-24
64,Don't Starve Together,0,13617,47264,2023-09-24
65,Sid Meier's Civilization V,0,13227,20465,2023-09-24
66,Cookie Clicker,0,13131,16565,2023-09-24
67,Monster Hunter: World,0,13091,39301,2023-09-24
68,Fallout 4,0,12949,19547,2023-09-24
69,Farming Simulator 22,0,12550,44118,2023-09-24
70,Total War: WARHAMMER III,0,12461,27811,2023-09-24
71,No Man's Sky,0,12205,22578,2023-09-24
72,The Binding of Isaac: Rebirth,0,12015,21837,2023-09-24
73,Factorio,0,11478,21246,2023-09-24
74,Arma 3,0,11452,22995,2023-09-24
75,BeamNG.drive,0,11100,23079,2023-09-24
76,Lies of P,0,11053,19618,2023-09-24
77,Bloons TD 6,0,11005,16093,2023-09-24
78,ARMORED CORE VI FIRES OF RUBICON,0,10834,20830,2023-09-24
79,Call of Duty: Black Ops III,0,10339,11272,2023-09-24
80,Soundpad,0,10181,17305,2023-09-24
81,BattleBit Remastered,0,10111,13453,2023-09-24
82,Europa Universalis IV,0,9988,22301,2023-09-24
83,Stellaris,0,9801,17463,2023-09-24
84,Titanfall 2,0,9764,14327,2023-09-24
85,Mount & Blade II: Bannerlord,0,9479,23891,2023-09-24
86,Slay the Spire,0,9393,17171,2023-09-24
87,State of Decay 2: Juggernaut Edition,0,9359,22553,2023-09-24
88,The Elder Scrolls Online,0,9316,15974,2023-09-24
89,Crusader Kings III,0,9298,18511,2023-09-24
90,Euro Truck Simulator 2,0,9123,45028,2023-09-24
91,MONSTER HUNTER RISE,0,9006,22582,2023-09-24
92,Street Fighter 6,0,8956,23298,2023-09-24
93,Sea of Thieves 2023 Edition,0,8904,18172,2023-09-24
94,Hunt: Showdown,0,8899,20745,2023-09-24
95,Conan Exiles,0,8835,15456,2023-09-24
96,Risk of Rain 2,0,7941,9108,2023-09-24
97,SCUM,0,7867,23092,2023-09-24
98,Paladins,1,7459,9679,2023-09-24
99,American Truck Simulator,0,7429,9119,2023-09-24
100,eFootball 2024,1,7385,13958,2023-09-24
