Rank,Game Name,Free to Play,Current Players,Peek Today,Collection Date
98,Paladins,1,7459,9679,2023-09-24
100,eFootball 2024,1,7385,13958,2023-09-24
59,SMITE,1,14276,15357,2023-09-24
61,Brawlhalla,1,14055,22101,2023-09-24
54,Yu-Gi-Oh! Master Duel,1,15454,27350,2023-09-24
62,Farlight 84,1,14032,28173,2023-09-24
25,MIR4,1,28025,29822,2023-09-24
52,Overwatch 2,1,15901,31932,2023-09-24
28,VRChat,1,26503,37382,2023-09-24
33,The Sims 4,1,24164,38242,2023-09-24
42,VPet-Simulator,1,20102,45994,2023-09-24
17,Lost Ark,1,36005,51844,2023-09-24
20,Path of Exile,1,32286,59247,2023-09-24
18,Warframe,1,33067,59674,2023-09-24
12,Unturned,1,52919,63176,2023-09-24
21,Destiny 2,1,30685,65069,2023-09-24
8,Team Fortress 2,1,72918,86441,2023-09-24
15,War Thunder,1,41431,101213,2023-09-24
16,NARAKA: BLADEPOINT,1,36117,223960,2023-09-24
7,PUBG: BATTLEGROUNDS,1,94034,402587,2023-09-24
5,Apex Legends,1,119257,433064,2023-09-24
3,Dota 2,1,265018,739724,2023-09-24
1,Counter-Strike: Global Offensive,1,807015,1361281,2023-09-24
