Rank,Game Name,Free to Play,App ID,FILE_DATE
1,CounterStrike Global Offensive,1,730,2023-09-24
2,Steam Deck,0,1675200,2023-09-24
3,Starfield,0,1716740,2023-09-24
4,Baldurs Gate 3,0,1086940,2023-09-24
5,Mortal Kombat 1,0,1971870,2023-09-24
6,PAYDAY 3,0,1272080,2023-09-24
7,Lost Ark,1,1599340,2023-09-24
8,Lies of P,0,1627720,2023-09-24
9,Destiny 2,1,1085660,2023-09-24
10,Apex Legends,1,1172470,2023-09-24
11,Cyberpunk 2077,0,1091500,2023-09-24
12,Call of Duty,0,1938090,2023-09-24
13,Cyberpunk 2077 Phantom Liberty,0,2138330,2023-09-24
14,Call of Duty Black Ops III,0,311210,2023-09-24
15,Tom Clancys Rainbow Six Siege,0,359550,2023-09-24
16,ARMORED CORE VI FIRES OF RUBICON,0,1888160,2023-09-24
17,Madden NFL 24,0,2140330,2023-09-24
18,War Thunder,1,236390,2023-09-24
19,Resident Evil 4,0,2050650,2023-09-24
20,Rust,0,252490,2023-09-24
21,NBA 2K24,0,2338770,2023-09-24
22,Red Dead Redemption 2,0,1174180,2023-09-24
23,Team Fortress 2,1,440,2023-09-24
24,Dead by Daylight,0,381210,2023-09-24
25,Warframe,1,230410,2023-09-24
26,The Sims 4,1,1222670,2023-09-24
27,Titanfall 2,0,1237970,2023-09-24
28,FINAL FANTASY XIV Online,0,39210,2023-09-24
29,Sekiro Shadows Die Twice  GOTY Edition,0,814380,2023-09-24
30,Party Animals,0,1260320,2023-09-24
31,Path of Exile,1,238960,2023-09-24
32,Valve Index Headset,0,1059530,2023-09-24
33,Persona 5 Royal,0,1687950,2023-09-24
34,The Elder Scrolls Online,0,306130,2023-09-24
35,Total War WARHAMMER III,0,1142710,2023-09-24
36,Call of Duty Black Ops II,0,202970,2023-09-24
37,Grand Theft Auto V,0,271590,2023-09-24
38,BattleBit Remastered,0,671860,2023-09-24
39,Black Desert,0,582660,2023-09-24
40,Halo The Master Chief Collection,0,976730,2023-09-24
41,Ready or Not,0,1144200,2023-09-24
42,Disney Dreamlight Valley,0,1401590,2023-09-24
43,Steam Deck Docking Station,0,1696780,2023-09-24
44,Dead Space,0,1693980,2023-09-24
45,Arma 3,0,107410,2023-09-24
46,Dota 2,1,570,2023-09-24
47,Fae Farm,0,2230110,2023-09-24
48,American Truck Simulator,0,270880,2023-09-24
49,Microsoft Flight Simulator 40th Anniversary Edition,0,1250410,2023-09-24
50,STAR WARS Jedi Survivor,0,1774580,2023-09-24
51,MONSTER HUNTER RISE,0,1446780,2023-09-24
52,FINAL FANTASY VII REMAKE INTERGRADE,0,1462040,2023-09-24
53,Cities Skylines,0,255710,2023-09-24
54,Sunkenland,0,2080690,2023-09-24
55,Void Crew,0,1063420,2023-09-24
56,Fallout 76,0,1151340,2023-09-24
57,YuGiOh Master Duel,1,1449850,2023-09-24
58,Sonic Frontiers,0,1237320,2023-09-24
59,Far Cry 6,0,2369390,2023-09-24
60,EA SPORTS FC 24,0,2195250,2023-09-24
61,Cities Skylines II,0,949230,2023-09-24
62,Call of Duty Black Ops Cold War,0,1985810,2023-09-24
63,ELDEN RING,0,1245620,2023-09-24
64,PUBG BATTLEGROUNDS,1,578080,2023-09-24
65,New World,0,1063730,2023-09-24
66,Remnant II,0,1282100,2023-09-24
67,Phasmophobia,0,739630,2023-09-24
68,No Mans Sky,0,275850,2023-09-24
69,Monster Hunter World,0,582010,2023-09-24
70,The Texas Chain Saw Massacre,0,1433140,2023-09-24
71,Project Zomboid,0,108600,2023-09-24
72,Deep Rock Galactic,0,548430,2023-09-24
73,Magic The Gathering Arena,1,2141910,2023-09-24
74,Total War WARHAMMER II,0,594570,2023-09-24
75,Baldurs Gate 3  Digital Deluxe Edition DLC,0,2378500,2023-09-24
76,Yakuza Like a Dragon,0,1235140,2023-09-24
77,Six Days in Fallujah,0,1548850,2023-09-24
78,Mass Effect Legendary Edition,0,1328670,2023-09-24
79,SMITE,1,386360,2023-09-24
80,MARVEL SNAP,1,1997040,2023-09-24
81,EA Play,0,1289670,2023-09-24
82,Borderlands 3,0,397540,2023-09-24
83,World of Warships,1,552990,2023-09-24
84,STAR WARS The Old Republic,1,1286830,2023-09-24
85,Eternights,0,1402110,2023-09-24
86,Cult of the Lamb,0,1313140,2023-09-24
87,Wandering Sword,0,1876890,2023-09-24
88,Sons Of The Forest,0,1326470,2023-09-24
89,Call of Duty Black Ops,0,42700,2023-09-24
90,Assetto Corsa,0,244210,2023-09-24
91,Hades,0,1145360,2023-09-24
92,The Elder Scrolls V Skyrim Special Edition,0,489830,2023-09-24
93,Call of Duty Modern Warfare,0,2000950,2023-09-24
94,Valheim,0,892970,2023-09-24
95,Rocket League,0,252950,2023-09-24
96,FOR HONOR,0,304390,2023-09-24
97,Sea of Stars,0,1244090,2023-09-24
98,MapleStory,1,216150,2023-09-24
99,Heretics Fork,0,2181610,2023-09-24
100,Far Cry 5,0,552520,2023-09-24
