,Rank,Game Name,Free to Play,Current Players,Peek Today,Collection Date
0,1,Counter-Strike 2,1,597321,1176034,2023-10-28
1,2,Dota 2,1,295874,697044,2023-10-28
2,3,Baldur's Gate 3,0,125241,151471,2023-10-28
3,4,Apex Legends™,1,93569,387264,2023-10-28
4,5,Team Fortress 2,1,74993,108299,2023-10-28
5,6,Rust,0,71472,105229,2023-10-28
6,7,The Finals Playtest,0,69624,143260,2023-10-28
7,8,PUBG: BATTLEGROUNDS,1,68246,434976,2023-10-28
8,9,Call of Duty®,0,63106,80328,2023-10-28
9,10,Grand Theft Auto V,0,61274,154238,2023-10-28
10,11,ARK: Survival Ascended,0,61099,67298,2023-10-28
11,12,Tom Clancy's Rainbow Six® Siege,0,49348,64472,2023-10-28
12,13,Cyberpunk 2077,0,44275,65854,2023-10-28
13,14,Cities: Skylines II,0,43440,70012,2023-10-28
14,15,War Thunder,1,43003,82266,2023-10-28
15,16,Destiny 2,1,41782,46219,2023-10-28
16,17,Wallpaper Engine,0,41213,122827,2023-10-28
17,18,Unturned,1,41039,47390,2023-10-28
18,19,EA SPORTS FC™ 24,0,38814,66682,2023-10-28
19,20,New World,0,36598,45594,2023-10-28
20,21,Warframe,1,36093,64792,2023-10-28
21,22,Lost Ark,1,34392,42033,2023-10-28
22,23,Sid Meier’s Civilization® VI,0,34309,63899,2023-10-28
23,24,Starfield,0,33798,39422,2023-10-28
24,25,Dead by Daylight,0,32992,49495,2023-10-28
25,26,DayZ,0,32548,47904,2023-10-28
26,27,ARK: Survival Evolved,0,30951,55373,2023-10-28
27,28,PAYDAY 2,0,29257,35943,2023-10-28
28,29,MIR4,1,27830,29551,2023-10-28
29,30,Rocket League®,0,27812,36541,2023-10-28
30,31,Project Zomboid,0,27598,35287,2023-10-28
31,32,Hearts of Iron IV,0,27538,53203,2023-10-28
32,33,FINAL FANTASY XIV Online,0,26982,27167,2023-10-28
33,34,Phasmophobia,0,26523,46304,2023-10-28
34,35,Terraria,0,25920,46531,2023-10-28
35,36,VRChat,1,25836,25836,2023-10-28
36,37,Stardew Valley,0,25731,35746,2023-10-28
37,38,ELDEN RING,0,25205,52742,2023-10-28
38,39,7 Days to Die,0,23850,35616,2023-10-28
39,40,Euro Truck Simulator 2,0,23149,62852,2023-10-28
40,41,The Sims™ 4,1,22099,29120,2023-10-28
41,42,tModLoader,0,20267,35326,2023-10-28
42,43,Geometry Dash,0,20250,24740,2023-10-28
43,44,The Elder Scrolls V: Skyrim Special Edition,0,19833,23926,2023-10-28
44,45,Football Manager 2023,0,19782,33386,2023-10-28
45,46,Left 4 Dead 2,0,19711,32896,2023-10-28
46,47,Red Dead Redemption 2,0,18666,43799,2023-10-28
47,48,Don't Starve Together,0,18224,72729,2023-10-28
48,49,Garry's Mod,0,18213,27593,2023-10-28
49,50,Valheim,0,18107,25667,2023-10-28
50,51,RimWorld,0,17605,20654,2023-10-28
51,52,Brawlhalla,1,17508,20808,2023-10-28
52,53,Hunt: Showdown,0,17178,31279,2023-10-28
53,54,Farming Simulator 22,0,17099,40165,2023-10-28
54,55,Warhammer 40_000: Darktide,0,16551,20017,2023-10-28
55,56,Battlefield™ 2042,0,16355,89077,2023-10-28
56,57,NARAKA: BLADEPOINT,1,16292,266552,2023-10-28
57,58,Black Desert,0,16036,19051,2023-10-28
58,59,Path of Exile,1,16026,21530,2023-10-28
59,60,Overwatch® 2,1,15159,31426,2023-10-28
60,61,Sid Meier's Civilization® V,0,15099,18877,2023-10-28
61,62,Age of Empires II: Definitive Edition,0,14479,21316,2023-10-28
62,63,Yu-Gi-Oh! Master Duel,1,13938,27989,2023-10-28
63,64,Space Engineers,0,13860,16358,2023-10-28
64,65,The Binding of Isaac: Rebirth,0,13390,22635,2023-10-28
65,66,Total War: WARHAMMER III,0,13390,19264,2023-10-28
66,67,Fallout 4,0,13211,16007,2023-10-28
67,68,Factorio,0,12849,17752,2023-10-28
68,69,The Forest,0,12794,75113,2023-10-28
69,70,SMITE®,1,12792,13869,2023-10-28
70,71,Europa Universalis IV,0,12762,19369,2023-10-28
71,72,Bloons TD 6,0,12643,14217,2023-10-28
72,73,Governor of Poker 3,1,12446,13435,2023-10-28
73,74,Sea of Thieves 2023 Edition,0,12367,19596,2023-10-28
74,75,EA SPORTS™ FIFA 23,0,12127,21366,2023-10-28
75,76,The Elder Scrolls® Online,0,12021,16214,2023-10-28
76,77,Cookie Clicker,0,11888,13305,2023-10-28
77,78,Arma 3,0,11754,16895,2023-10-28
78,79,Crusader Kings III,0,11627,15949,2023-10-28
79,80,Soundpad,0,11485,15728,2023-10-28
80,81,Monster Hunter: World,0,11453,37577,2023-10-28
81,82,Deep Rock Galactic,0,11048,16544,2023-10-28
82,83,Mount & Blade II: Bannerlord,0,10701,20070,2023-10-28
83,84,Stellaris,0,10646,14596,2023-10-28
84,85,Cities: Skylines,0,10645,21963,2023-10-28
85,86,BeamNG.drive,0,10423,15748,2023-10-28
86,87,Halo Infinite,1,9843,12427,2023-10-28
87,88,Lords of the Fallen,0,9754,12449,2023-10-28
88,89,Backpack Battles Demo,0,9447,13860,2023-10-28
