Rank,Game Name,Free to Play,Current Players,Peek Today,Collection Date
1,Counter-Strike 2,1,665359,1176034,2023-10-27
2,Dota 2,1,342529,697044,2023-10-27
3,Baldur's Gate 3,0,129549,151471,2023-10-27
4,Apex Legends™,1,96772,387264,2023-10-27
5,Team Fortress 2,1,93794,108299,2023-10-27
6,PUBG: BATTLEGROUNDS,1,80954,434976,2023-10-27
7,Rust,0,79325,105229,2023-10-27
8,The Finals Playtest,0,71989,143260,2023-10-27
9,Grand Theft Auto V,0,66988,154238,2023-10-27
10,Call of Duty®,0,64928,80328,2023-10-27
11,ARK: Survival Ascended,0,63093,67298,2023-10-27
12,Tom Clancy's Rainbow Six® Siege,0,51743,64472,2023-10-27
13,Cities: Skylines II,0,48385,70012,2023-10-27
14,Cyberpunk 2077,0,47192,65854,2023-10-27
15,War Thunder,1,47009,82266,2023-10-27
16,EA SPORTS FC™ 24,0,45231,66682,2023-10-27
17,Destiny 2,1,42171,46219,2023-10-27
18,Unturned,1,41260,47390,2023-10-27
19,Wallpaper Engine,0,39626,122827,2023-10-27
20,New World,0,39005,45594,2023-10-27
21,Warframe,1,36996,64792,2023-10-27
22,DayZ,0,36450,47904,2023-10-27
23,Lost Ark,1,36376,42033,2023-10-27
24,Sid Meier’s Civilization® VI,0,35851,63899,2023-10-27
25,Dead by Daylight,0,35375,49495,2023-10-27
26,Starfield,0,34868,39422,2023-10-27
27,ARK: Survival Evolved,0,32354,55373,2023-10-27
28,Rocket League®,0,30858,36541,2023-10-27
29,Hearts of Iron IV,0,30857,53203,2023-10-27
30,Euro Truck Simulator 2,0,29424,62852,2023-10-27
31,Phasmophobia,0,28996,46304,2023-10-27
32,PAYDAY 2,0,28592,35943,2023-10-27
33,Project Zomboid,0,28437,35287,2023-10-27
34,MIR4,1,27646,29551,2023-10-27
35,Terraria,0,27091,46531,2023-10-27
36,FINAL FANTASY XIV Online,0,26437,27167,2023-10-27
37,ELDEN RING,0,26218,52742,2023-10-27
38,Stardew Valley,0,25624,35746,2023-10-27
39,7 Days to Die,0,25044,35616,2023-10-27
40,VRChat,1,24486,25429,2023-10-27
41,Football Manager 2023,0,23135,33386,2023-10-27
42,The Sims™ 4,1,22925,29120,2023-10-27
43,The Elder Scrolls V: Skyrim Special Edition,0,20856,23926,2023-10-27
44,Geometry Dash,0,20848,24740,2023-10-27
45,tModLoader,0,20616,35326,2023-10-27
46,Hunt: Showdown,0,20589,31279,2023-10-27
47,Farming Simulator 22,0,20160,40165,2023-10-27
48,Garry's Mod,0,19902,27593,2023-10-27
49,Valheim,0,19762,25667,2023-10-27
50,Red Dead Redemption 2,0,19512,43799,2023-10-27
51,Left 4 Dead 2,0,18805,32896,2023-10-27
52,Brawlhalla,1,18199,20808,2023-10-27
53,RimWorld,0,18140,20654,2023-10-27
54,Path of Exile,1,17320,21530,2023-10-27
55,Battlefield™ 2042,0,16995,89077,2023-10-27
56,NARAKA: BLADEPOINT,1,16951,266552,2023-10-27
57,Warhammer 40_000: Darktide,0,16940,20017,2023-10-27
58,Black Desert,0,16467,19051,2023-10-27
59,Sid Meier's Civilization® V,0,15896,18877,2023-10-27
60,Age of Empires II: Definitive Edition,0,15741,21316,2023-10-27
61,Overwatch® 2,1,15637,31426,2023-10-27
62,Total War: WARHAMMER III,0,14653,19264,2023-10-27
63,The Forest,0,14529,75113,2023-10-27
64,Europa Universalis IV,0,14359,19369,2023-10-27
65,Space Engineers,0,14332,16358,2023-10-27
66,The Binding of Isaac: Rebirth,0,14298,22635,2023-10-27
67,Don't Starve Together,0,14193,72729,2023-10-27
68,Factorio,0,14089,17752,2023-10-27
69,Sea of Thieves 2023 Edition,0,13990,19596,2023-10-27
70,Fallout 4,0,13612,16007,2023-10-27
71,EA SPORTS™ FIFA 23,0,13392,21366,2023-10-27
72,Yu-Gi-Oh! Master Duel,1,13389,27989,2023-10-27
73,Bloons TD 6,0,12985,14217,2023-10-27
74,Crusader Kings III,0,12895,15949,2023-10-27
75,SMITE®,1,12684,13869,2023-10-27
76,Governor of Poker 3,1,12515,13435,2023-10-27
77,The Elder Scrolls® Online,0,12484,16214,2023-10-27
78,Arma 3,0,12437,16895,2023-10-27
79,Soundpad,0,12403,15728,2023-10-27
80,Cookie Clicker,0,12295,13305,2023-10-27
81,Deep Rock Galactic,0,11810,16544,2023-10-27
82,Mount & Blade II: Bannerlord,0,11588,20070,2023-10-27
83,Cities: Skylines,0,11366,21963,2023-10-27
84,Stellaris,0,11343,14596,2023-10-27
85,Monster Hunter: World,0,11011,37577,2023-10-27
86,BeamNG.drive,0,10944,15748,2023-10-27
87,Lords of the Fallen,0,10552,12449,2023-10-27
88,Backpack Battles Demo,0,9822,13860,2023-10-27
89,Stumble Guys,1,9510,15024,2023-10-27
90,Conan Exiles,0,9284,11240,2023-10-27
91,Halo Infinite,1,9242,12427,2023-10-27
92,Assetto Corsa,0,9053,13947,2023-10-27
93,SCUM,0,8752,22961,2023-10-27
94,Fallout 76,0,8678,10933,2023-10-27
95,Sons Of The Forest,0,8530,13919,2023-10-27
96,Hogwarts Legacy,0,8501,11938,2023-10-27
97,Satisfactory,0,8192,10546,2023-10-27
98,Squad,0,8179,13179,2023-10-27
99,Slay the Spire,0,8156,18126,2023-10-27
100,People Playground,0,8072,9646,2023-10-27
