appid,name
793570,Trenchfoot
818070,Draoi
888880,Summer: Jigsaw Puzzles
897970,Viper Attack
906250,Encore Casino Games Collection
958900,BATTLE X Arcade
963050,Toy Road Constructor
998530,Winter Sports Games
1066730,PARTY BINGO
1074870,Typing Instructor for Kids Gold
1088800,Horror Ville Maze Escape
1124010,Princesses vs Dragons: Royal Rumble
1167100,Metal Mind
1231780,Classic Card Game Hearts
1231800,Classic Card Game Pinochle
1267580,Classic Sport Driving
1274850,The Sickle Upon Sekigahara
1288040,Helicopter Simulator 2020
1288110,Super Robin
1308220,Orbals
1359720,Turbo Machines Mini Racing
1361690,Wish of Abyss Dungeon
1365680,Insulated at the bottom
1381690,Sainthum 圣颂
1417250,Three Kingdoms 21
1426540,Angry Cat
1440220,Train Ride Simulator
1456880,ElecHead
1461580,Molecule Builder
1489310,NecroCity
1494100,VIRTUAL SOLDIERS
1500810,Necrojacks
1541520,Bad Guy Adventure
1542170,vissekom
1542560,SyncGo Desktop Calendar
1571000,Alphadia Genesis 2
1589890,便利商店‪6
1591870,Drift Phonk 666
1601280,Potato Flowers in Full Bloom
1640890,Hell of an Office
1642010,h8machine
1668130,orbit.industries
1677980,Unmatched: Digital Edition
1684400,Best Month Ever!
1686500,Discord Bot Workshop [EARLY ACCESS]
1692080,SVFI
1740070,Heliopedia
1746730,Hidden Objects - Cartoon Fantasy
1747370,Gpi
1770630,Fear in The Modern House - CH3
1775510,Raiders of the Icepeak Mountains
1776930,Undergrave
1777940,Quake Survivor
1781040,Super Kakuro - Cross Sums
1805650,My Universe - Doctors & Nurses
1825550,Acceptance
1826100,Legend of Egypt - Jewels of the Gods 2
1832370,Charades Movie One
1837210,Rabbit Meadow
1859130,Solitaire Jack Frost Winter Adventures 3
1882730,Detective Agency 2
1897520,Behind Border Zone
1905260,Mini Gardens - Logic Puzzle
1917460,Underground Lords
1920510,The Elevator Game
1930110,Solitaire Game Christmas
1930120,Solitaire Beach Season 2
1933140,Jeu de Tarot
1942300,Outer Darkness
1948280,Stacklands
1950640,Mystery Solitaire. Powerful Alchemist 3
1956830,[Chilla's Art] The Bathhouse | 地獄銭湯♨️
1979410,TOP DOG
1982680,Knight Solitaire 3
1989620,Reborn Souls
1996380,End of Night
2005790,Gleeb Glob
2007280,العدم
2016960,STREAM WAR
2057490,Dancing Hime: Rhythm Matching
2091580,SYNESTHESIA
2096050,Warrior Maiden
2098860,Magic Сity Detective: Secret Desire Collector's Edition
2102330,The Reaper Survivors
2128830,Defect detector
2155090,Secret Battle
2165350,Lazerhawk
2192700,PEBI - Preview Emotes Badges Icons
2222200,Springblades
2224400,BBirthday - Visual Novel
2225030,Anubis Clicker
2236300,Grand Emprise: Time Travel Survival
2271940,Hug Survivor
2288480,Kiss Effect
2290010,Beyond the Wall
2298730,Neko-chan's Club
2404610,You Are Tre
2443550,Cow Girls 3 Stories
2463080,Zombie Hunter
2535670,Frog's Adventure
