App ID,Review,Voted Up
730,good game diese,pos
730,its fun with friends,pos
730,what hasnt been said,pos
730,good game,pos
730,best,pos
730,counter strike,pos
730,community may seem bad but everyone is welcoming fr tho still a fun game to play,pos
730,One of the first games I played on steam Before it became CSGO 2 I played CSGO sporadically over the years at different ranks as a try hard and as a troll and I loved all of it This is still my goto game with friends I am not picky so I really dont care for how the game looks or about any of the changes they made to become CSGO 2 all I care about is the laughter that fills our team call when my friends and I play this game For that I recommend,pos
730,RIP CSGO and welcome CS2 same thing but slightly brighter OH and cant forget the agent legs now oh and that it makes my laptop burn more now,pos
730,i miss csgo tho,pos
730,Good old times,pos
730,"Hitboxes are shit
Tacapaca",pos
730,good game love it,pos
730,fun,pos
730,Case,pos
730,my aim suck,pos
730,bueno madre,pos
730,"I like this game
Its good
Play it",pos
730,Best way to get a Gambling addiction,pos
730,goodgreat,pos
730,Sold my family and pets to buy skins and cases 1010 would do again ,neg
730,8D,neg
730,After the release of CS2CSGO2 the game is almost unplayable for me The game always lags loadings take forever AND AND AND when I try to close the game my pc freezesor slows down too much and I have to open the task manager to get rid of the steam or I have to shut down my pc altogether to get it start working again I have i7 9700 rtx 2060 and 32gb ram I dont think its about my rig CP2077 baldurs gate 3 and many games alike run normally with medium to high settings It needs fixing,neg
730,VALVE DEVS DIE SOON,neg
730,No,neg
730,Account was hacked and I got VAC banned what ever that is n they wont remove it even tho this is a free game now n I can just make a new account but I dont want two accounts Ive had this steam account for 15 years but total Ive been using steam for probably 20 and never had a problem until this happen since I was out a PC the last 2 years,neg
730,ew,neg
730,,neg
730,from what ive been playing people are very toxic to me and csgo was better then cs2,neg
730,Piece of shit dont play valorant is worser but still shit,neg
730,"The fact that theyre actively misrepresenting with the reviews on their own platform is pretty messed up

People would be pissed if EA Ubisoft Sony Microsoft did this",neg
730,ass but im addicted,neg
730,I open 500 cases with 1 red no knife,neg
730,Wait for the actual release 2025,neg
730,i dont want to learn russian they can lick my balls,neg
730,CS2 is absolutely useless I genuinely hope it dies Incredible that they cant make a game with over a billion dollars a year Breath taking stupidity across the board,neg
730,the shittest update better make the csgo back,neg
730,This is like weird as fuck im silver two in wingman and for some fucking reason i get to go against a SILVER ELITE,neg
730,So they had the market leader for 20 years and managed to make it unplayable by fucking up the matchmaking and ranking system GG Valve,neg
730,kinda dog poo right now also why is it 33gb,neg
1086940,one of the best games I have ever played,pos
1086940,game of the year im a huge dnd fan and this is basically the best dnd game i can imagine,pos
1086940,This has to be one of the best games Ive ever played,pos
1086940,Im not that into crpgs and this blew my mind,pos
1086940,i want gale of waterdeep dekarios deep in this water,pos
1086940,Fantastic solo and multiplayer campaigns Repeatability is high and always differs paths from your friends play styles,pos
1086940,By far the best game I have played in a LONG time,pos
1086940,Told a demon to KYS and had sexual intercourse with a green bat girl 1010,pos
1086940,Im not a big rpg or DD player but holy  this game is so good i didnt get bored once The story was engaging and amazing I wouldve payed more for this game To think its only 60 yet other games that mostly suck are 70 is wild,pos
1086940,Ive been craving Dragon Age Origins for years now The love I had for that first playthrough as it constantly blew my mind with its mechanics story and charactersI have never felt again until now BG3 is glorious get it,pos
1086940,"This is The Lord of the Rings for video games 

If youve ever thought about what the perfect game looks like it probably looks pretty close to this one Its as if your favorite immersive sim had sex with your favorite RPG while he was playing XCOM 

Whatever your taste youre doing yourself a disservice by not trying this game out",pos
1086940,"turn BBEG into sheep
Shove sheep off map
1010",pos
1086940,sgood,pos
1086940,Superb game Nothing more or less,pos
1086940,best game,pos
1086940,So far so good,pos
1086940,Just great,pos
1086940,Play it,pos
1086940,Best game Ive ever played  So many choices you can make and have a completely different game   Im probably going to play it through again as a completely different character class and have all the other characters be ones I didnt use in the last campaign,pos
1086940,iTS GOOD,pos
1086940,Game has softlocked me from being abole to leave a portal through the asteral plane 100 ruining any chance of playing anymore and im expected to reset me ENTIRE game from the begining fucking shit game SHIT fuckingAIDS INFESTED BUG FILLED SHIT NO BETTER THEN FUCKING STARFIELD I WANT MY FUCKING MONEY BACK,neg
1086940,This game is horrid I played it all the way to the end only to form a more full opinion It fails in so many ways The gameplay highlights the flaws in the DnD system making a lot of it very boring especially combat For nonDnD players the mindnumbing complexity of character building from the very beginning is blindingly overwrought The ending is so long dull and ridiculous that I quit halfway through the final battle with only one feeling I want my money back This is all that is bad about RPGs mixed with all that is bad about DnD taking away anything good from each and throwing it down the drain The only reason this game has had any attention from players is that mixed into the poor game is unnecessary sex scenes to fulfill the needs of sexstarved gamers Dont waste your money on this piece of garbage,neg
1086940,"Yok 30 dk oynadm yoruldum gze bcek mcek sokuyorlar bana gre deil sonra dvemedim bile
Ya birde sra tabanl filan valla olmaz bu oyun ben delirdim",neg
1086940,Bugs Lots of bugs Ive never known a game crash so much,neg
1086940,"Played 33 hours almost an hour of which was character selection and creation then cinematic Didnt like the clumsy game play and the turn based system Asked for a refund and denied twice 

Last time Larian is getting a dime for me and Ill be skipping Steam purchasing from now on as well",neg
1086940,"I love the game  Long time player of BG1 and BG2  Only reason Im posting a negative review is that some bugs are glaring so far in my playthrough  

Minor spoilers The doors often revert to their closed state even when visually open  This is especially true in the temple complex occupied by the goblins and others  Which makes it annoying to navigate  Also I got the bug where Withers doesnt show up in his start position but will show up in camp  So the quest is bugged it appears  Also other minor bugs where poison environmental effectsclouds wont show up on a save reload  Why arent these seemingly simple bugs fixed yet",neg
1086940,Even running a PC that exceeds the recommended requirements this game doesnt launch Throw it back in the oven for another year and work out these bugs,neg
1086940,Way too much forced LGBTQ stuff  Like a weird bizarre amount of it  Not passive like shoved in your face  Lots of quests and subplots are bugged still and get broken like the one with the little girl whos parents you need to find  Story was fairly engaging but too much emphasis on the pseudoSciFi feeling stuff IMO  Also not enough time spent in the Baldurs Gate city itself for my taste  Very cool city environment but It was kind of thrown in during the last act and felt short and fleeting   I was surprised that there was no daynight cycle and therefore no opportunity for night time prowling and burglarizing shops while people are asleep etc which would have been cool since I went with a thief direction for my character assuming there would be that sort of thing but whatever  The camping function was pretty cool  other than always wondering if the next camping cutscene was going to include a party member of the same sex trying to seduce you as well as the games dialogue options also trying to nudge you towards samesex romance stuff totally out of the blue  Again just weird and kind of killed the enjoyable feeling of the game  Youd think if it was so important to the writers then they would have made some sort of orientation option available during character creation that would dictate the occurrence or likelihood of these kinds of things throughout the game  But overall the camping function was pretty cool novel and well implemented  Combat is pretty cool at first but becomes longwinded  On the one hand a lot of the graphics and effects especially for magic are VERY well done  And also the combat SOUND whoever worked on the SOUNDS for this game needs a pay raise  The sounds are AMAZING  But on the other hand yeah the combat does end up being a little too longwinded and slow and annoying after a while   Would I play the game again  Just to see what sort of slightly different story lines there might be  Probably not  Overall I would say this was fairly fun but did not live up to the hype that Id heard in gamer media and is probably not in my top 10,neg
1086940,"Id love to give this game a positive review until act 3 it was probably the best RPG Ive played since KOTOR Most companions are interesting there is a fair bit of freedom of how you go about things until act 3 What made me feel I have to give this game a negative review though is that once I finally get to Baldurs Gate I am extremely limited in how I can go about things all of a sudden I chose to attack an NPC in a building in Baldurs Gate after that every single Red Fist in the city attacks me on sight making it impossible to get around No way to even pay a bounty or go to prison this is after Lord Gortash already said the guards wont give me any bother since I made an agreement with him I would expect in a game that is supposed to give near maximum freedom in choices for me to be able to talkpay my way out of it once all witnesses to the attack have been dealt with 

On top of that I have come across a lot of inconsistencies with dialogue particularly late game One example being despite the fact I didnt take Gale with me to fight Lord Ketheric the dialogue with him afterwards acts as though he did come with me This kind of dialogue inconsistency is highly immersion breaking and its not the first instance Ive seen of it",neg
1086940,"Body type lmao

How about Body Type S for shit

Dont bother",neg
1086940,Laborious gameplay It never flows you are constantly having to manage things and click through menus menus menus inventories loot,neg
1086940,Come on champ we both know you just clicked on negative reviews to find out whats not to like about this game Its fantastic go play it ,neg
1086940,"While this game felt like it was polished and was going to be a good game the core gameplay felt odd and clunky with the weird camera controls

After a few hours of gameplay I did not find myself wanting to continue to play this game and thats coming from a pretty hardcore RPG player I really wanted to like it but my brain said no

Maybe Ill revisit it in a year when its on sale or something",neg
1086940,mid,neg
1086940,I cant bang goblins I can have sex with a mindflayer or a bear But goblins are where we draw the line,neg
1086940,Great game but the laziness of the developers shts on what could be perfection They were so close Fix the bugs ffs Fix pathing over traps and damaging difficult terrain the party is clearly aware of Jesus christ Fix not being able to click on character portraits without having the mouse perfectly still  The game is well thought out but its clear far from everything was thought out How some of the bullsht that happens escaped QA boggles my mind,neg
1086940,the multiplayer is terrible and has gamebreaking bugs in  and by gamebreaking i mean you have to start an entire new playthrough to fix it   or every time you load everyone is controlling the wrong character and you cant fix it without everyone closing the game and reopening it which takes around 10 minutes  and half the time we load into the wrong characters again  DO NOT BUY if you want to play with irl friends,neg
1086940,halsin,neg
1086940,Absolutely awful system built upon awful system,neg
1086940,I think it is a good game BUT I just cant get into it  Mostly I dont feel any motivation or connection to the characters and especially the companions  I just dislike all the companions  My other personal dislike is  you have to be able to handle failure  You cant always get the outcomes you always want and the limited options in responses kind of frustrate me  Finally I was looking a bit more action and knowing who the enemy  the good and bad is that there are many ways to deal with situations but not usually the one I would pick or want  ALL of this is just my personal view  I think the game will be great for many people  I just didnt get into it or want to go back to play more  personal preference,neg
1938090,gud,pos
1938090,fun times with the boyz,pos
1938090," Graphics 
 You forget what reality is
 Beautiful
 Good
 Decent
 Bad
 Dont look too long at it
 MSDOS

The games graphics are beautiful though innacurate at times Screen space reflections are the chosen method making them less accurate MW3 will have RayTracing so itll be much better if you can run it

 Gameplay 
 Very good
 Good
 Its just gameplay
 Mehh
 Watch paint dry instead
 Just dont

This is highly determined by what modedifficulty you choose the campaign Story can feel repetitive and multiplayerbattle royale is a repeating loop I completed the campaign and moved to the DMZ mode an extractionsandbox mode 

 Audio 
 Eargasm
 Very good
 Good
 Not too bad
 Bad
 Im now deaf

The audio is very good however directional audio is hard to decipher because enemies sound like they wear size 27 Nikes

 Audience 
 Kids
 Teens
 Adults
 Grandma

The campaign is about a cartel gameplay is guns and murder You tell me

 PC Requirements 
 Check if you can run paint
 Potato
 Decent
 Fast
 Rich boi
 Ask NASA if they have a spare computer

This game does require a semibeefy PC
I use a 2080 on a ryzen 7 1080p 60fps and it hitches on occasion

 Difficulty 
 Just press W
 Easy
 Easy to learn  Hard to master
 Significant brain usage
 Difficult
 Dark Souls

Depends on the mode multiplayer is fast paced whoever has better aim typically wins DMZ and battle royale require decent positioning etc Campaign is fairly easy

 Grind 
 Nothing to grind
 Only if u care about leaderboardsranks
 Isnt necessary to progress
 Average grind level
 Too much grind
 Youll need a second life for grinding

This also depends on the mode the campaign provides everything you need for it grinding is present in multiplayer modes including DMZ you will grind weapon levels for attachments and player levels for weapons

 Story 
 No Story
 Some lore
 Average
 Good
 Lovely
 Itll replace your life

The campaign has 70 of the story the raid has 20 and DMZ has 10 The campaigns story is fairly straightforward and enjoyable the raid has a good story and DMZ requires attentive eyes to reveal story

 Game Time 
 Long enough for a cup of coffee
 Short
 Average
 Long
 To infinity and beyond

The campaign is a decent length of gameplay it does feel a little dragged on near the end Multiplayer matches are typically 515 minutes and battle royale matches are about 20 minutes DMZ matches are 30 minutes or less if you exfil early

 Price 
 Its free
 Worth the price
 If its on sale
 If u have some spare money left
 Not recommended
 You could also just burn your money

If you enjoy semitactical fps games this is a good purchase or try out the DMZ mode to get a feel for the gunplay there are free modes to try

 Bugs 
 Never heard of
 Minor bugs
 Can get annoying
 ARK Survival Evolved
 The game itself is a big terrarium for bugs

An area in the campaign has severe lightning issues I will occasionally spawn in DMZ without my weapon sometimes I die and my body falls somewhere unreachable

   10 
 1
 2
 3
 4
 5
 6
 7
 8
 9
 10

Overall fun game but I recommend either mw3 or sticking with the free to play DMZ mode",pos
1938090,its Call of Duty,pos
1938090,This game is very fun even when im not having good days and lose back to back I can see myself still playing it over and over for a long time,pos
1938090,,pos
1938090,nldmgkp3eip13nh,pos
1938090,nice,pos
1938090,"Its like other CODs you build bases with your friends plant some flowers and tame animals to have fun with them
I mean u can shoot other players but committing war crimes is not that much fun

Just buy it to spend your hard earned money or just take your parents credit card I wouldnt recommend that",pos
1938090,game,pos
1938090,not being able to purchase cod points,pos
1938090,i find this game enjoyable and its an added bonus that i am helping fund the small indie game developer know as Activision with my purchase,pos
1938090,Game was worth playing for Ghost,pos
1938090,better graphics and game play from modern warfare,pos
1938090,I dont get why so many people hate on this game The movement is superior to any other fps game not talking about cod titles the recoil is almost nonexistent if you know how to build your weapons and even if they have some it can be controlled extremely easy Lots of gamemodes weapons and attachments and overall an enjoyable experience,pos
1938090,it str8,pos
1938090,Its a good game extremely good graphics and lots of noobs to paint the town red,pos
1938090,nius,pos
1938090,swdada,pos
1938090,yes,pos
1938090,Game needs to be supported,neg
1938090,ok,neg
1938090,"Not a bad game not the greatest Pretty standard for a COD 
A few issues though firstly the updates so many of them then the bugs in said updates For example the last one has rendered my copy completely inert Despite trying every fix out there The devs are aware of this affecting a few percentage of players but i dont hold out much hope",neg
1938090,"As much as Ive eagerly cherished the Call of Duty franchise since its inception I must admit that my recent experience with the latest installment has been overwhelmingly disheartening Despite having a lightningfast internet connection and a toptier gaming rig this particular game has brought forth a plethora of issues that Ive never encountered before
The frustration stems from the inexplicable and relentless disconnections I face both in the singleplayer campaign and during multiplayer sessions What perplexes me even more is the complete absence of any discernible pattern to these disruptions Its as if the game has developed a whimsical desire to disconnect me whenever it pleases
Im a huge fan of the franchise but this is such a disappointment I dont mind spending money on a game I like but I expect to be able to play it normally",neg
1938090,Literally cannot even play the game because Must verify game files pops up every single time Ive uninstalled verified game files and reinstalled multiple times Same result,neg
1938090,do not buy its the same thing every time cheaters and hackers in lobbies now,neg
1938090, this company,neg
1938090,i miss the old days of cod when not everyone you played with and the game didnt have such a massive support for the most op players everyone seems way too good now its just not as fun,neg
1938090,this is not good,neg
1938090,The best thing of this game comes when writing the negative review,neg
1938090,"SMGs are the only weapons that arent one shot weapons that feel good because they dont have a lot of visual recoil Even then majority of guns feel mid
Really bad netcode Bad maps except for 1 or 2 I probably wont be buying another CoD ever again",neg
