Rank,Game Name,Free to Play,App ID,Collection Date,price
1,Baldurs Gate 3,0,1086940,2023-08-15,$59.99
2,CounterStrike Global Offensive,1,730,2023-08-15,0
3,Starfield,0,1716740,2023-08-15,$69.99
4,Madden NFL 24,0,2140330,2023-08-15,$69.99
5,Steam Deck,0,1675200,2023-08-15,$399.00
6,The Texas Chain Saw Massacre,0,1433140,2023-08-15,$39.99
7,Bomb Rush Cyberfunk,0,1353230,2023-08-15,$39.99
8,Wayfinder,0,1171690,2023-08-15,$19.99
9,Call of Duty,0,1938090,2023-08-15,0
10,Apex Legends,1,1172470,2023-08-15,0
11,Lost Ark,1,1599340,2023-08-15,0
12,ARMORED CORE VI FIRES OF RUBICON,0,1888160,2023-08-15,$59.99
13,MahjongSoul,0,1329410,2023-08-15,0
14,Cyberpunk 2077,0,1091500,2023-08-15,$59.99
15,Remnant II,0,1282100,2023-08-15,$49.99
16,Tom Clancys Rainbow Six Siege,0,359550,2023-08-15,$19.99
17,Team Fortress 2,1,440,2023-08-15,0
18,War Thunder,1,236390,2023-08-15,0
19,Destiny 2,1,1085660,2023-08-15,0
20,Baldurs Gate 3  Digital Deluxe Edition DLC,0,2378500,2023-08-15,$9.99
21,Dead by Daylight,0,381210,2023-08-15,$19.99
22,Rust,0,252490,2023-08-15,$39.99
23,Mortal Kombat 1,0,1971870,2023-08-15,$69.99
24,The Elder Scrolls Online,0,306130,2023-08-15,$19.99
25,Path of Exile,1,238960,2023-08-15,0
26,FINAL FANTASY XIV Online,0,39210,2023-08-15,$19.99
27,Forza Horizon 5,0,1551360,2023-08-15,$29.99
28,Warframe,1,230410,2023-08-15,0
29,Grand Theft Auto V,0,271590,2023-08-15,0
30,Black Desert,0,582660,2023-08-15,$9.99
31,Wayfinder  Exalted Founders Pack,0,2362391,2023-08-15,0
32,Valve Index Headset,0,1059530,2023-08-15,$499.00
33,Hammerwatch II,0,1538970,2023-08-15,$24.99
34,Wayfinder  Initiate Founders Pack,0,2362380,2023-08-15,0
35,BattleBit Remastered,0,671860,2023-08-15,$14.99
36,BOOK OF HOURS,0,1028310,2023-08-15,$22.49
37,Fallout 76,0,1151340,2023-08-15,$39.99
38,Wayfinder  Awakened Founders Pack,0,2362390,2023-08-15,0
39,YuGiOh Master Duel,1,1449850,2023-08-15,0
40,Cyberpunk 2077 Phantom Liberty,0,2138330,2023-08-15,$29.99
41,Phasmophobia,0,739630,2023-08-15,$13.99
42,The Sims 4,1,1222670,2023-08-15,0
43,Across the Obelisk,0,1385380,2023-08-15,$19.99
44,PAYDAY 2,0,218620,2023-08-15,$0.99
45,ELDEN RING,0,1245620,2023-08-15,$59.99
46,World of Warships,1,552990,2023-08-15,0
47,SCP 5K,0,872670,2023-08-15,$19.99
48,Street Fighter 6,0,1364780,2023-08-15,$59.99
49,American Truck Simulator,0,270880,2023-08-15,$19.99
50,Desynced,0,1450900,2023-08-15,$29.99
51,Ready or Not,0,1144200,2023-08-15,$39.99
52,NARAKA BLADEPOINT,1,1203220,2023-08-15,0
53,Call of Duty Black Ops III,0,311210,2023-08-15,$59.99
54,PUBG BATTLEGROUNDS,1,578080,2023-08-15,0
55,Shadow Gambit The Cursed Crew,0,1545560,2023-08-15,$35.99
56,MapleStory,1,216150,2023-08-15,0
57,Graveyard Keeper,0,599140,2023-08-15,$19.99
58,EA SPORTS FIFA 23,0,1811260,2023-08-15,$69.99
59,Total War WARHAMMER III,0,1142710,2023-08-15,$59.99
60,Sons Of The Forest,0,1326470,2023-08-15,$29.99
61,Across The Obelisk Sands of Ulminin,0,2511580,2023-08-15,$19.99
62,PAYDAY 3,0,1272080,2023-08-15,$39.99
63,DAVE THE DIVER,0,1868140,2023-08-15,$19.99
64,Hearts of Iron IV,0,394360,2023-08-15,$39.99
65,Red Dead Redemption 2,0,1174180,2023-08-15,$59.99
66,EA Play,0,1289670,2023-08-15,$4.99
67,BlazBlue Entropy Effect,0,2273430,2023-08-15,$19.99
68,Project Zomboid,0,108600,2023-08-15,$19.99
69,Overwatch 2,1,2357570,2023-08-15,0
70,The Elder Scrolls V Skyrim Special Edition,0,489830,2023-08-15,$39.99
71,Microsoft Flight Simulator 40th Anniversary Edition,0,1250410,2023-08-15,$59.99
72,SMITE,1,386360,2023-08-15,0
73,Deep Rock Galactic,0,548430,2023-08-15,$29.99
74,EA SPORTS FC 24,0,2195250,2023-08-15,$69.99
75,Hogwarts Legacy,0,990080,2023-08-15,$59.99
76,Hunt Showdown,0,594650,2023-08-15,$39.99
77,Call of Duty Modern Warfare II  BlackCell Season 05,0,2451950,2023-08-15,$29.99
78,Stardew Valley,0,413150,2023-08-15,$14.99
79,Sea of Thieves 2023 Edition,0,1172620,2023-08-15,$39.99
80,DRAGON BALL Z KAKAROT,0,851850,2023-08-15,$59.99
81,Magic The Gathering Arena,1,2141910,2023-08-15,0
82,STAR WARS The Old Republic,1,1286830,2023-08-15,0
83,VRChat,1,438100,2023-08-15,0
84,Phantasy Star Online 2 New Genesis,1,1056640,2023-08-15,0
85,BeamNGdrive,0,284160,2023-08-15,$24.99
86,Halo Infinite,1,1240440,2023-08-15,0
87,Brawlhalla,1,291550,2023-08-15,0
88,To The Core,0,1988550,2023-08-15,$7.99
89,RimWorld,0,294100,2023-08-15,$34.99
90,Bomb Rush Cyberfunk Soundtrack,0,2537200,2023-08-15,$14.99
91,Darkest Dungeon II,0,1940340,2023-08-15,$29.99
92,DayZ,0,221100,2023-08-15,$44.99
93,Guild Wars 2,1,1284210,2023-08-15,0
94,En Garde,0,1654660,2023-08-15,$19.99
95,Farming Simulator 22,0,1248130,2023-08-15,$39.99
96,Ratchet  Clank Rift Apart,0,1895880,2023-08-15,$59.99
97,Fallout 4,0,377160,2023-08-15,$19.99
98,Dota 2,1,570,2023-08-15,0
99,New World,0,1063730,2023-08-15,$39.99
100,Evil West,0,1065310,2023-08-15,$49.99
