Rank,Game Name,Free to Play
1,CounterStrike 2,1
2,Baldurs Gate 3,0
3,Call of Duty,0
4,Apex Legends,1
5,Cities Skylines II,0
6,Steam Deck,0
7,Destiny 2,1
8,Team Fortress 2,1
9,ENDLESS Dungeon,0
10,Dead by Daylight,0
11,Warframe,1
12,Cyberpunk 2077,0
13,New World,0
14,Halo Infinite,1
15,Tom Clancys Rainbow Six Siege,0
16,Diablo IV,0
17,EA SPORTS FC 24,0
18,War Thunder,1
19,Lost Ark,1
20,Rust,0
21,Cyberpunk 2077 Phantom Liberty,0
22,Party Animals,0
23,Hogwarts Legacy,0
24,Madden NFL 24,0
25,Lords of the Fallen,0
26,Warhammer 40000 Darktide,0
27,Wizard with a Gun,0
28,Starfield,0
29,The Jackbox Party Pack 10,0
30,STAR WARS Jedi Survivor,0
31,FINAL FANTASY XIV Online,0
32,Mortal Kombat 1,0
33,Battlefield 2042,0
34,The Elder Scrolls Online,0
35,Warhammer Vermintide 2,0
36,Batman Arkham Knight,0
37,ELDEN RING,0
38,Sons Of The Forest,0
39,Grand Theft Auto V,0
40,Black Desert,0
41,New World Rise of the Angry Earth,0
42,Lies of P,0
43,Valve Index Headset,0
44,Football Manager 2024,0
45,Mortal Kombat 11,0
46,METAL GEAR  METAL GEAR 2 Solid Snake,0
47,Hunt Showdown,0
48,Sea of Thieves 2023 Edition,0
49,Middleearth Shadow of War,0
50,The Elder Scrolls V Skyrim Special Edition,0
51,Dota 2,1
52,WORLD OF HORROR,0
53,American Truck Simulator,0
54,Tom Clancys The Division 2,0
55,The Sims 4,1
56,Project Zomboid,0
57,SONIC SUPERSTARS,0
58,Phasmophobia,0
59,NBA 2K24,0
60,Call of Duty Modern Warfare II  Pumpkin Patch Pro Pack,0
61,YuGiOh Master Duel,1
62,Hearts of Iron IV,0
63,Galactic Civilizations IV,0
64,Marvels SpiderMan Remastered,0
65,MapleStory,1
66,Sid Meiers Civilization VI,0
67,The Front,0
68,Divinity Original Sin 2  Definitive Edition,0
69,Fallout 76,0
70,LEGO Star Wars The Skywalker Saga,0
71,Call of Duty Modern Warfare II  BlackCell Season 06,0
72,Forza Motorsport,0
73,Gotham Knights,0
74,MARVEL SNAP,1
75,Rocket League,0
76,Stellaris,0
77,Call of Duty Black Ops III,0
78,Euro Truck Simulator 2,0
79,RimWorld,0
80,STAR WARS The Old Republic,1
81,PUBG BATTLEGROUNDS,1
82,Rocksmith 2014 Edition  Remastered,0
83,ARMORED CORE VI FIRES OF RUBICON,0
84,Microsoft Flight Simulator 40th Anniversary Edition,0
85,Killing Floor 2,0
86,Stardew Valley,0
87,NARAKA BLADEPOINT,1
88,Bloons TD 6,0
89,Marvels SpiderMan Miles Morales,0
90,Farming Simulator 22,0
91,Red Dead Redemption 2,0
92,SMITE,1
93,DayZ,0
94,Ready or Not,0
95,Guild Wars 2,1
96,Magic The Gathering Arena,1
97,The Coffin of Andy and Leyley,0
98,EA Play,0
99,Sunkenland,0
100,The Forest,0
