App ID,Review,Voted Up
730,Good,pos
730,My favorite game by far,pos
730,Very fun game and cant wait for CS2  but I would like more visible tracers to see the spray But other than that good game,pos
730,Fair To Play,pos
730,Grandma,pos
730,steals your soul,pos
730,Its good,pos
730,1010 competitive shooter Would recommend,pos
730,In 2023 CS is the game you wanna be playing if you enjoy competitive FPS games well this is for you No shitty character abilities in your way Its up to you and your team as well as your sheer reaction time and recoil control that are the only factors to if you win or lose Download it and give it a try BEWARE IF YOU DONT KNOW THE GUNS IN THIS GAME DONT SHOOT LIKE IN COD YOU HAVE TO CONTROL IT RATHER THAN IT BEING A STRAIGHT LINE,pos
730,cooll game racist players,pos
730,csgo made me racist 910,pos
730,gun go pew,pos
730,yes,pos
730,yes,pos
730,Are u looking for a way to fall deeper and deeper into your dark pit of despair  depression Well look no further,pos
730,pee,pos
730,Many russians,pos
730,h,pos
730,Gave me crippling gambling addiction,pos
730,Is nice,pos
730,cs GO,neg
730,This game has ruined my life any time I get a paycheck it immediately gets spent on virtual skins for a game I stopped enjoying after the first 50 hours My wife divorced me and took our son and the house To get my fix i work at a 711 and put my setup in the family restroom and keep a sign on it that says Out Of Service I do this so I can game in peace without these nasty oxygen breathing weirdos anywhere near my glorious CounterStrike Global Offensive setup My boss has not figured it out so I will continue spending all of my time and money playing this game especially since i can stay clocked in 247 since I broke the cameras so he has no idea when im actually working so it just means more money for skins please help me I owe the IRS 15000,neg
730,Excessive cheating VAC also appears to be nonfunctional at this time as its only gotten worse in the last few months since the announcement of CSGO 2 They may not be spin botting but its pretty obvious when you get 1 tapped swinging around every corner with 0 chance to even react,neg
730,HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH,neg
730,Valve does not ban griefing teammates but will ban you for complaining about them dumb game dumb developers dumb rules,neg
730,bullshit,neg
730,I dont have c2,neg
730,dogshit teammates dont play if you expect people to be more intelligent than toddlers who just learned how to fire a gun,neg
730,awful game,neg
730,i sure love playing against the same 45 player groups 6 times in a row every time i play the game,neg
