Rank,Game Name,Free to Play
1,CounterStrike Global Offensive,1
2,Remnant II,0
3,Baldurs Gate 3,0
4,Steam Deck,0
5,Apex Legends,1
6,Dead by Daylight,0
7,Ratchet  Clank Rift Apart,0
8,Call of Duty,0
9,Warframe,1
10,BattleBit Remastered,0
11,Tom Clancys Rainbow Six Siege,0
12,Team Fortress 2,1
13,War Thunder,1
14,STARFIELD,0
15,Black Desert,0
16,Destiny 2,1
17,Dead by Daylight  Nicolas Cage Chapter Pack,0
18,Rust,0
19,Call of Duty Black Ops III,0
20,The Elder Scrolls Online,0
21,FINAL FANTASY XIV Online,0
22,The Sims 4,1
23,Red Dead Redemption 2,0
24,Grand Theft Auto V,0
25,ARMORED CORE VI FIRES OF RUBICON,0
26,Lost Ark,0
27,Valve Index Headset,0
28,FOR HONOR,0
29,Street Fighter 6,0
30,Arma 3,0
31,Hunt Showdown,0
32,HITMAN 3,0
33,Five Nights at Freddys Security Breach,0
34,Call of Duty Black Ops II,0
35,DAVE THE DIVER,0
36,Arma 3 Creator DLC Spearhead 1944,0
37,Tom Clancys Ghost Recon Breakpoint,0
38,NARAKA BLADEPOINT,1
39,Fallout 76,0
40,Ready or Not,0
41,ELDEN RING,0
42,MahjongSoul,0
43,Assassins Creed Valhalla,0
44,Sons Of The Forest,0
45,YuGiOh Master Duel,1
46,Sea of Thieves 2023 Edition,0
47,Project Zomboid,0
48,MapleStory,0
49,Sniper Elite 5,0
50,Phasmophobia,0
51,American Truck Simulator,0
52,Cyberpunk 2077,0
53,Far Cry 6,0
54,Microsoft Flight Simulator 40th Anniversary Edition,0
55,Tom Clancys Ghost Recon Wildlands,0
56,EA SPORTS FIFA 23,0
57,Borderlands 3,0
58,Batman Arkham Knight,0
59,HalfLife Alyx,0
60,The Sims 4 Horse Ranch Expansion Pack,0
61,Call of Duty Black Ops Cold War,0
62,Shadows of Doubt,0
63,RimWorld,0
64,Stellaris,0
65,F1 23,0
66,SMITE,1
67,Assassins Creed Odyssey,0
68,Stardew Valley,0
69,Six Days in Fallujah,0
70,Hogwarts Legacy,0
71,World of Warships,1
72,PUBG BATTLEGROUNDS,1
73,Path of Exile,1
74,Warhammer 40000 Chaos Gate  Daemonhunters,0
75,Farming Simulator 22,0
76,STAR WARS The Old Republic,1
77,Phantasy Star Online 2 New Genesis,1
78,Cities Skylines,0
79,Sid Meiers Civilization VI,0
80,The Elder Scrolls V Skyrim Special Edition,0
81,Aliens Dark Descent,0
82,Tiny Tinas Wonderlands,0
83,Deadlink,0
84,NBA 2K23,0
85,MONSTER HUNTER RISE,0
86,Generation Zero,0
87,Total War WARHAMMER III,0
88,DayZ,0
89,F1 Manager 2023,0
90,Dying Light 2 Stay Human,0
91,The Witcher 3 Wild Hunt,0
92,Lets School,0
93,Exoprimal,0
94,VRChat,1
95,Deep Rock Galactic,0
96,Raft,0
97,Risk of Rain 2,0
98,SCP 5K,0
99,BeamNGdrive,0
100,New World,0
