                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    review  voted_up
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           Everything I wanted and more from Ratchet and Clank. First game was a big part of my childhood and this is giving me some feels      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    so fun      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Som Rocket League men man är en stor intergalatisk råtta som ska rädda världen med sin felbyggda robotkompis.      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  \n(I have a 1070ti - i7-8700 - on an SSD + ps5 controller) I could run it on lower-end settings at a stable 60fps. I would recommend having a better system than mine to run this and still enjoy it as intended. Its definitely designed for 'overkill' pc's\n\nNever had any crashes but the few bugs i encountered were patched out in the week after release\nI've heard it get compared to the ps3 R&C games, i haven't played them; only the ps2 ones~ \n\nI enjoyed it, although you can't collect all achievements with just a single play through unfortunately (two weapons are locked in new game plus)\nstill pretty expensive for a two year old game even put on steam. I suppose its one less reason to buy a ps5~~\n\n\n      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              i grew up with the series, the only games i have not played were size matters and secret agent clank\n8/10\nit is a bit on the shorter side compared to R&C 1-6\nthere is no minigames like racing, or a minigame like the  CQ minigame from R&C 3\nthe arena in this game is short compared to older entries\nthere is no space exploration or space combat, would have been fun to fight nefariouses forces in space\nthe level design in this game was a bit more linear compared to other games\nno customizeable ship for ratchet or rivet\nno iconic long jump or high jump\n\nbut overall this game i feel is a return to form compared to the awful 2016 game on ps4      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Simply Ratchet and Clank. Fun in all ways. Can not recommend enough if you have played the original games.      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Great game, fantastic GPU melting graphics! Although its painfully short, took me about 20 or so hours to 100% the game. Made me feel like I was playing Ratchet and Clank again for the first time on a PS2 demo disk (but with MUCH better visuals).      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 it's okay      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Fantastic visuals, quality game play, and just enough nostalgia to make me yearn for a simpler time.      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               amazing game! happy they finally brought it to PC platform. the game story and game play are great. its a fun 25 to 30 hours of game play. \n\nwith that being said, the game has multiple bugs throughout the story. the game also crashes here and there. my setup is: AMD 7950x3d, GPU 4090fe, ram 32GB so i know it can't come from my hardware. i'm sure soon will have an optimise driver update that will fix all those little glitches and bugs. the game is playable but its just annoying sometimes :P \n\n8.9/10      True
