                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      review  voted_up
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       I've been playing Warframe since Gauss update, which is around 2019 or so. Awesome fast paced looter shooter game.\n\nI don't usually play third person shooter games with photo-realistic design like these, but this one is an exception. The Warframe designs which are like bio mechas are amazing, the gameplay is really fun, and it's not just about the guns, it also have melees and warframes abilities, which combines into unique builds. You can also change your warframes functionalities like strength, durations and range with mods and such. The cinematic stories are phenomenal and I still praise them till this day. The game also has a lot of game modes, which we will also come to this later. The game also has amazingly friendly comunity as well. This game is FREE TO PLAY while having AAA game level of designs, and you can grind premium currency ingame pretty easily.\n\nHOWEVER the game is quite grindy, which is the least worst thing on the list.\nYou want to play with new stuffs NOW, but you have to wait 3 days for it to finish crafting, which kills off the hype.\nEvery content updates brings you new game modes, which is another content island that has barely anything to do with the rest of the game, with materials that once you have everything you can craft with that materials will, with no doubt, never want to have anything to do with that game mode ever again. Although a lot of content updates adds a lot of refreshing new game modes and well, contents, they all feel so different that it feels like another game entirely. Every time.\nThe game also lacks a form of "endgame content". By that I don't mean sitting in Survival for 2 hours killing level 9999 foot soldiers. By that I mean actual hard bosses. Assassinate missions are a joke, the bosses are forgettable, save for Eidolons, Orbs and Ropalolyst, which are not available for majority of the player unless they grind really hard to unlock them, not to mention actually be able to beat them. Railjacks are fun for the first hour or so, but it's also another content island which you don't want to have anything to do with. Asides from those, Liches and Sisters hunts are actually quite fun, challenging and memorable as a boss, and does give some nice uses or Raijacks as their dramatic final confrontation. The new Orowyrm in Duviri Paradox is also quite something too, but wayy too easy.\nI stopped playing Warframe around The New War, but it's still fun enough to keep me coming back to the game occasionally because of the fun gameplay, the mechanics deep under it keeps pushing me away, and every updates with new game modes keep getting me dumbfounded of what is going on and what to do every time I return.\n\nTLDR: very fun game with fun gameplay, but once you look deeper, you will see a mess behind the mechanics.      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         cool game regret not playing and keeping up with it      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             w     a     r      f        a        m      e                i     s                 g      a     m     e     r      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          :)      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        GOOD      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      great game, a LOT of content and loaded with great vibes. thank you for a masterpiece.      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    this game is so enjoyable from the beginning. It's super fun and challenging. Although it's kinda hard sometimes but you can always ask for help from others player. I really recommend this game to everyone that likes a combat games with adventures because the character in this game is so cool and easy to learn.      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              Its uhh... A learning experience but still fun      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Damn! i got this game back during the Golden Age (2014) i had it on ps4 it was free and Rhino prime just came out! The black and gold rhino prime. So i bought the pack and sunk deeper and deeper into the game i Eventually lvl'd up high maybe 15 or so and i had then purchased nearly every warframe in the game. Now then then -- *deep immersive story* -*Loads of customisation options from weapons to skins, warframes and color pallets, ships, resources and more...HUGE shop*- Warframes are like action figures, each comes with a few "powers" u activate using simple button combos. *best 3rd person SPEED RUNNER space game i can think of. *great community and community chat support, *clans dojo's faction's and guilds. Fun alone or with multiplayer I consider warframe one of my daily's and my 2ND favourite video game. * constantly being worked on and updated, I give this game a full recommendation for anyone! *****      True
