                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             review  voted_up
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          good game great to just hop on and get funny vc moments, and shoot some shit with friends      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  .      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Definitely worth the weight in gold      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              better than cockatoos      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          This game has restored my faith in fps gaming and at the same time destroyed my faith in humanity via voice coms and other interactions .... and I absolutely love it could not recommend this game more especially with a few buddies !!      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           Best game ever soo far in a while gameplay > graphic's\n      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          Runs on an UHD 620 integrated graphics laptop, extremely well optimized chaos filled with screaming people at the tops of their lungs yelling for their mom, including me.\n\nBTW, when I use a sniper rifle, and I go to aim it stutters in the transition to the scope.      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       good game uhhh idk its fun sometimes and if you arent good you dont get banned so just like dont be good, and yeah also dont use kriss vector cuz its a bitch gun (on jesus)      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      5 guys unli respawn alternately, all die to a nade, good game      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              3 devs make a better battlefield than 5 whole studios      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        It's fun. Needs a few balancing tweaks but other than that the game is a lot of fun for how little it costs      True
This is the best first person shooter games I have played after battlefield 4. This might look like battlefield but it is actually not. It has far more mechanics to it's game play which is far superior to any battlefield game ever made.\n\nThis is not run and gun like the last 10 years battlefield games so be warned. The game play is way hardcore and weapons are harder to control than in battlefield games. The sound design is not bad but it is no where near battlefield level and it does not have the immersion of being in the real battlefield.\n\nDo not buy this if want to replace your current battlefield game with this game. \n\nThis a totally different game and it is much better than any other battlefield games I have ever played. This is just the beginning and if they keep this up it will become a legendary game in the future. \n\nThis game will run even in potato PC so no worries. Just buy the game because this is an amazing game and stop giving money to the greedy AAA publishers who can't even make a game which is 10% as good as battlebit.      True
                   I am a 45 yo father, probably one of the oldest people playing this game. I am a single father to my Son, who is 14 now. My son got this game for his birthday from his uncle, so we installed it on his computer and he started playing. By the end of the week he had 24 hours on this game. This was horrible for me, as it was already hard for me to find ways to spend time with my son, as he is always out with his friends or just watching YouTube. So i decided to make a Steam account and get this game to see if I could maybe play alongside him. I loaded into the game, picked my class and started playing. but I was stuck on what you where supposed to do. I asked my Son for help and he had me join his game. I loved it as it was the best time I had spent with my Son since my wife had died. This game has ever since brought me and my son closer again and now we actually spend time together outside the house as well. This game reminded me that there's fun to be had in everything, and it has brought both me and my Son many happy memories      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 This game is fun and a few of my friends got it because its not expensive. Can't complain over all      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Having a absolute blast on this game! \nspend like 5 seconds from loading into a game and finding a server so quickly! with so many players! \ni really hope this game stays as well as its doing, i see lots of potential. Little to no cheaters that i've come across.    Very active players that love to use the mic and play along when dying making goofy funny death noises haha. 8.5/10      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                5/5      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Battlefield wishes is could be this quality.      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Brings be back to my Battlefield 2 days. Better than anything Dice or EA have released in the last 10 years.      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              win or lose, it's a game of all time.      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      It's simple where it can be and complex where it NEEDS to be. As a Planetside 2 Veteran, I find the chaos and teamplay delightfully familiar.      True
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  It's like a more populated game of battlefield, where there are too many people, and all of the UI UX is clunky as hell.\nThe game doesn't look good, sound good, or feel great to play... even compared to battlefield 2042...\n     False
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 This game could be so much fun, but as always with these games, tons of cheaters ruin it... There is so much cheating going on right now that I can't recommend this game to anyone... it's driving the developers to the point where they want to include FaceIt, which leaves me with only one choice, uninstall and say goodbye to my 15 bucks.     False
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            It is a lot of game for the price.  HOWEVER, I can not recommend this game due to the issue with cheaters.  If the developers deal with them, then I'll edit my review.     False
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           I'd give it a positive review, but it has voice and text chat monitoring. You can get banned for being "toxic". The definition of which is left to The Company, so yeah.     False
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       I thought the good guys won?     False
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    no freedom of speech, everyone is soft in this game and will apparently mass report for not being nice. devs evidently are more concerned with banning people for saying mean words than they are with balancing comically overpowered weapons.     False
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      "Skill Issue" - BattleBit Dev     False
                                                                                                                                                                                                                                                                                                                                                                                                                                   Too easy to die. Too slow to reload. 99% of the time no idea where your getting shot from. No kill cam to see who shot you. Too realistic for a game that looks fake. Can't revive without dying, cant revive without them dying within a second. When you find cover it seems you get killed regardless.\n\nIt's a really fun game, it can be a fun game, but starting too hard for a beginner player is ridiculous. I don't want to spend 30 years just to get good at a game. People say "get better" but why invest into a game where I try hard just to throw my keyboard across the room. Hope they fix the dynamics for so called "inexperienced players"     False
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Wont recommend until sniper accuracy is fixed.     False
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Unless you're covered in sweat I'd stay away     False
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   This game is a waist of money.  I really don't know what else to say.  Horrible.     False
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        No, I got banned for being based. What is the world coming to when a man cant call it how he sees it. 0/10 devs are on soy. get back in the cuckshed.\nBattlefield 2042 gave me aids, and is still not as gay as this game.     False
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 no     False
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 Game does have some good things compared to titles like BF and COD.  However the amount of cheaters is quickly ruining the game for me.  I'm spectating and seeing around 2-3 every round I play, it's beginning to be a bit much.     False
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              the maps are way to small for the ammout of players there are, and the buildings are "destructables" only walls you cant bring the building down. the smalles map has 32v32 and is just filled with people that the moment they see you, you are dead     False
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Frustrating and un-fun. Had fun for the initial release, but now its all the same 4 weapons shooting you in the ass     False
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             i personally didn't enjoy it, was very stressful dying every 30 seconds when everybody else felt like a bullet sponge, but i can definitely see why it's so popular\nif fast paced FPS with very small TTK is your thing, then try this out, if not\ndon't even bother     False
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   Well if you like shooting everything 5 times and getting hit one time to loose this is the game for you! No hardcore mode, just suffer until you unlock a gun worth using. Sniper rifles shine at a distance!? Is there anything this game doesn't steel from better games and do worse? Battlefield for autism!     False
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Everyone uses the OP broken guns and camp, you cant do shit.     False
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           This game has a massive cheater problem.     False
