Rank,Game Name,Free to Play,App ID,Collection Date
1,CounterStrike Global Offensive,1,730,2023-07-18
2,Remnant II,0,1282100,2023-07-18
3,Baldurs Gate 3,0,1086940,2023-07-18
4,Steam Deck,0,1675200,2023-07-18
5,BattleBit Remastered,0,671860,2023-07-18
6,Apex Legends,1,1172470,2023-07-18
7,Call of Duty Modern Warfare II,0,1938090,2023-07-18
8,Destiny 2,1,1085660,2023-07-18
9,Team Fortress 2,1,440,2023-07-18
10,The Sims 4,1,1222670,2023-07-18
11,Tom Clancys Rainbow Six Siege,0,359550,2023-07-18
12,War Thunder,1,236390,2023-07-18
13,Red Dead Redemption 2,0,1174180,2023-07-18
14,Grand Theft Auto V,0,271590,2023-07-18
15,Black Desert,0,582660,2023-07-18
16,Rust,0,252490,2023-07-18
17,Lost Ark,1,1599340,2023-07-18
18,The Elder Scrolls Online,0,306130,2023-07-18
19,Street Fighter 6,0,1364780,2023-07-18
20,FINAL FANTASY XIV Online,0,39210,2023-07-18
21,STARFIELD,0,1716740,2023-07-18
22,DAVE THE DIVER,0,1868140,2023-07-18
23,The Sims 4 Horse Ranch Expansion Pack,0,1990600,2023-07-18
24,Valve Index Headset,0,1059530,2023-07-18
25,Dead by Daylight,0,381210,2023-07-18
26,Xenonauts 2,0,538030,2023-07-18
27,Viewfinder,0,1382070,2023-07-18
28,Ready or Not,0,1144200,2023-07-18
29,Techtonica,0,1457320,2023-07-18
30,My Friendly Neighborhood,0,1574260,2023-07-18
31,NARAKA BLADEPOINT,1,1203220,2023-07-18
32,Exoprimal,0,1286320,2023-07-18
33,MapleStory,1,216150,2023-07-18
34,Warframe,1,230410,2023-07-18
35,Tiny Tinas Wonderlands,0,1286680,2023-07-18
36,Fallout 76,0,1151340,2023-07-18
37,Sea of Thieves 2023 Edition,0,1172620,2023-07-18
38,Ember Knights,0,1135230,2023-07-18
39,Borderlands 3,0,397540,2023-07-18
40,ELDEN RING,0,1245620,2023-07-18
41,Sons Of The Forest,0,1326470,2023-07-18
42,Call of Duty Black Ops III,0,311210,2023-07-18
43,F1 23,0,2108330,2023-07-18
44,SCP 5K,0,872670,2023-07-18
45,Six Days in Fallujah,0,1548850,2023-07-18
46,World of Warships,1,552990,2023-07-18
47,Project Zomboid,0,108600,2023-07-18
48,YuGiOh Master Duel,1,1449850,2023-07-18
49,Phasmophobia,0,739630,2023-07-18
50,Halo Infinite,1,1240440,2023-07-18
51,Sid Meiers Civilization VI,0,289070,2023-07-18
52,Cyberpunk 2077,0,1091500,2023-07-18
53,Microsoft Flight Simulator 40th Anniversary Edition,0,1250410,2023-07-18
54,NBA 2K23,0,1919590,2023-07-18
55,Jagged Alliance 3,0,1084160,2023-07-18
56,EA SPORTS FIFA 23,0,1811260,2023-07-18
57,Phantasy Star Online 2 New Genesis,1,1056640,2023-07-18
58,RimWorld,0,294100,2023-07-18
59,Stardew Valley,0,413150,2023-07-18
60,Hunt Showdown,0,594650,2023-07-18
61,Hogwarts Legacy,0,990080,2023-07-18
62,Smalland Survive the Wilds,0,768200,2023-07-18
63,Disney Dreamlight Valley,0,1401590,2023-07-18
64,The Wandering Village,0,1121640,2023-07-18
65,Lakeburg Legacies,0,1584940,2023-07-18
66,American Truck Simulator,0,270880,2023-07-18
67,Stellaris,0,281990,2023-07-18
68,STAR WARS The Old Republic,1,1286830,2023-07-18
69,Cities Skylines,0,255710,2023-07-18
70,Farming Simulator 22,0,1248130,2023-07-18
71,The Outlast Trials,0,1304930,2023-07-18
72,BattleBit Remastered  Supporter Pack 1,0,2390150,2023-07-18
73,SnowRunner,0,1465360,2023-07-18
74,The Elder Scrolls V Skyrim Special Edition,0,489830,2023-07-18
75,Magic The Gathering Arena,1,2141910,2023-07-18
76,PUBG BATTLEGROUNDS,1,578080,2023-07-18
77,Gunsmith Simulator,0,1101120,2023-07-18
78,New World,0,1063730,2023-07-18
79,A Little to the Left,0,1629520,2023-07-18
80,Risk of Rain 2,0,632360,2023-07-18
81,SMITE,1,386360,2023-07-18
82,Dying Light 2 Stay Human,0,534380,2023-07-18
83,Ratchet  Clank Rift Apart,0,1895880,2023-07-18
84,Deep Rock Galactic,0,548430,2023-07-18
85,The BreakIn,0,1397390,2023-07-18
86,Raft,0,648800,2023-07-18
87,ARMORED CORE VI FIRES OF RUBICON,0,1888160,2023-07-18
88,Punch Club 2 Fast Forward,0,1161590,2023-07-18
89,Conan Exiles,0,440900,2023-07-18
90,Crusader Kings III,0,1158310,2023-07-18
91,Hell Let Loose,0,686810,2023-07-18
92,BeamNGdrive,0,284160,2023-07-18
93,Total War WARHAMMER III,0,1142710,2023-07-18
94,DayZ,0,221100,2023-07-18
95,Forza Horizon 5,0,1551360,2023-07-18
96,VRChat,1,438100,2023-07-18
97,PGA TOUR 2K23,0,1588010,2023-07-18
98,Marvels SpiderMan Remastered,0,1817070,2023-07-18
99,EA Play,0,1289670,2023-07-18
100,Terraria,0,105600,2023-07-18
